Country,Year,GDP,Inflation,Unemployment
Denmark,2000,164158739097.623,81.6811516828855,4.476
Denmark,2001,164791442543.375,83.5907508258191,4.164
Denmark,2002,178635163717.431,85.6173555932506,4.274
Denmark,2003,218096033517.009,87.3939826801179,5.398
Denmark,2004,251373002954.382,88.4028211766807,5.204
Denmark,2005,264467336457.17,90.0098205517365,4.83
Denmark,2006,282884947702.966,91.7418087670744,3.897
Denmark,2007,319423424509.066,93.295241496295,3.801
Denmark,2008,353361038818.383,96.482456923489,3.683
Denmark,2009,321241303699.006,97.741273100616,6.409
Denmark,2010,321995279401.502,100.0,7.747
Denmark,2011,344003137611.271,102.758682260513,7.769
Denmark,2012,327148943812.137,105.222747968931,7.798
Denmark,2013,343584391647.927,106.053030979377,7.384
Denmark,2014,352993631617.708,106.65119185787,6.925
Denmark,2015,302673070846.857,107.133291670387,6.278
Denmark,2016,313115929314.339,107.401124899563,5.989
Denmark,2017,332121063806.391,108.633157753772,5.833
Denmark,2018,356841216410.068,109.517007410053,5.131
Denmark,2019,346498737961.635,110.347290420498,5.018
Denmark,2020,354762748338.661,110.811534684403,5.637
Denmark,2021,405687998852.691,112.864922774752,5.043
Denmark,2022,400167196948.707,121.55164717436,4.434
Denmark,2023,404198757537.974,125.569145611999,5.142
Finland,2000,126019543413.334,86.0844924575984,11.135
Finland,2001,129533107311.811,88.3041301344494,10.291
Finland,2002,140404460203.138,89.6915824008834,10.423
Finland,2003,171652458349.411,90.4785725679397,10.469
Finland,2004,197479443979.151,90.6478765787804,10.358
Finland,2005,204885494686.381,91.2134055202458,8.384
Finland,2006,217089269791.764,92.6424129317036,7.719
Finland,2007,256378067752.158,94.9683541727377,6.854
Finland,2008,285716311136.719,98.8297233440041,6.369
Finland,2009,253497520828.515,98.8297224373794,8.25
Finland,2010,249424310816.667,100.0,8.394
Finland,2011,275604356167.316,103.416807542552,7.781
Finland,2012,258290060227.734,106.321099212145,7.689
Finland,2013,271362405890.589,107.892829303649,8.193
Finland,2014,274862826772.156,109.016205355146,8.663
Finland,2015,234534382384.766,108.789529224042,9.376
Finland,2016,240771351298.833,109.177564613377,8.818
Finland,2017,255647979916.471,110.000779878603,8.64
Finland,2018,275708001767.843,111.192991413593,7.361
Finland,2019,268514916972.549,112.331712088838,6.695
Finland,2020,271886077382.102,112.658096995756,7.759
Finland,2021,296470417085.267,115.130462665656,7.606
Finland,2022,281887430795.721,123.331790076698,6.719
Finland,2023,300187202696.084,131.040820253141,7.155
